run,stim,delay,movie_stim
1,rocknroll.wav,4,movie002.mkv
1,deephouse.wav,6,
1,classic.wav,4,
1,heavymetal.wav,8,
1,rnb.wav,4,
1,deephouse.wav,8,
1,trance.wav,4,
1,drumandbass.wav,4,
1,funk.wav,4,
1,rocknroll.wav,6,
1,funk.wav,8,
1,reggae.wav,4,
1,reggae.wav,6,
1,drumandbass.wav,8,
1,romantic.wav,6,
1,rnb.wav,6,
1,modernclassic.wav,8,
1,alternative.wav,6,
1,psychedelic.wav,4,
1,punk.wav,6,
1,hiphop.wav,4,
1,soul.wav,8,
1,psychedelic.wav,4,
1,renaissance.wav,4,
1,soul.wav,6,
1,techno.wav,6,
1,alternative.wav,8,
1,classic.wav,8,
1,techno.wav,4,
1,dubstep.wav,6,
1,renaissance.wav,4,
1,dubstep.wav,8,
1,punk.wav,8,
1,romantic.wav,8,
1,hiphop.wav,6,
1,baroque.wav,6,
1,modernclassic.wav,8,
1,trance.wav,6,
1,baroque.wav,8,
1,heavymetal.wav,0,
