run,stim,delay,movie_stim
2,techno.wav,4,movie003.mkv
2,alternative.wav,6,
2,heavymetal.wav,6,
2,baroque.wav,8,
2,drumandbass.wav,6,
2,classic.wav,8,
2,modernclassic.wav,4,
2,techno.wav,4,
2,classic.wav,6,
2,punk.wav,8,
2,hiphop.wav,6,
2,modernclassic.wav,4,
2,hiphop.wav,6,
2,trance.wav,4,
2,rocknroll.wav,6,
2,drumandbass.wav,4,
2,rnb.wav,8,
2,dubstep.wav,4,
2,funk.wav,8,
2,soul.wav,6,
2,heavymetal.wav,4,
2,psychedelic.wav,8,
2,soul.wav,6,
2,reggae.wav,8,
2,renaissance.wav,6,
2,psychedelic.wav,8,
2,baroque.wav,8,
2,trance.wav,4,
2,deephouse.wav,4,
2,romantic.wav,6,
2,reggae.wav,8,
2,punk.wav,4,
2,rnb.wav,8,
2,alternative.wav,4,
2,funk.wav,8,
2,deephouse.wav,4,
2,renaissance.wav,8,
2,dubstep.wav,6,
2,romantic.wav,6,
2,rocknroll.wav,0,
