run,stim,delay,movie_stim
5,punk.wav,8,movie006.mkv
5,romantic.wav,8,
5,baroque.wav,8,
5,dubstep.wav,6,
5,soul.wav,6,
5,funk.wav,6,
5,psychedelic.wav,8,
5,trance.wav,8,
5,rnb.wav,8,
5,reggae.wav,4,
5,dubstep.wav,4,
5,rocknroll.wav,4,
5,trance.wav,6,
5,rocknroll.wav,6,
5,modernclassic.wav,6,
5,punk.wav,4,
5,renaissance.wav,6,
5,modernclassic.wav,4,
5,hiphop.wav,8,
5,heavymetal.wav,4,
5,deephouse.wav,4,
5,soul.wav,4,
5,baroque.wav,8,
5,classic.wav,6,
5,drumandbass.wav,8,
5,funk.wav,6,
5,reggae.wav,8,
5,drumandbass.wav,4,
5,alternative.wav,6,
5,alternative.wav,6,
5,hiphop.wav,4,
5,romantic.wav,4,
5,psychedelic.wav,8,
5,renaissance.wav,6,
5,techno.wav,4,
5,deephouse.wav,8,
5,rnb.wav,8,
5,heavymetal.wav,6,
5,techno.wav,4,
5,classic.wav,0,
